REGION,DISTRICT,WARD,SCHOOL NAME,SCHOOL REG. NUMBER,NECTA EXAM CENTRE NO.,SCHOOL OWNERSHIP,Form 1-Boys,Form 1-Girls,Form 2-Boys,Form 2-Girls,Form 3-Boys,Form 3-Girls,Form 4-Boys,Form 4-Girls,Form 5-Boys,Form 5-Girls,Form 6-Boys,Form 6-Girls,Total Boys,Total Girls,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR,Pass Rate (2016),AVERAGE GPA 2016,BAND OF SCHOOL 2016,BAND OF SCHOOL 2015,RANK OF SCHOOL 2016,RANK OF SCHOOL 2015,Candidates
MTWARA,MTWARA,MAHURUNGA,MAHURUNGA,S.1760,S3687,GOVERNMENT,49,47,42,50,21,19,15,11,,,,,127,127,19,3,19,3,11.5,11.5,64,4.3469,8,7,1047,705,LESS THAN 40
MTWARA,MTWARA,LIBOBE,LIBOBE,S.1761,S3507,GOVERNMENT,68,104,66,77,33,37,23,17,,,,,190,235,17,6,16,6,18.5,19.3,47,4.4561,8,9,2703,3208,MORE THAN 40
MWANZA,ILEMELA MC,BUSWELU,RORYA,S.1762,S1609,NON-GOVERNMENT,43,48,65,58,74,73,94,67,55,38,27,12,358,296,17,3,16,3,32.7,34.4,100,3.2895,5,5,347,303,MORE THAN 40
MWANZA,SENGEREMA,NYATUKARA,NTUNDURU,S.1763,S1608,NON-GOVERNMENT,20,21,74,59,68,77,126,95,56,19,46,14,390,285,22,5,15,5,25.0,33.8,88,3.9684,6,6,961,626,MORE THAN 40
MARA,BUNDA TC,NYASURA,ELLYS,S.1765,,NON-GOVERNMENT,17,19,20,16,,,,,,,,,37,35,5,2,4,2,10.3,12.0,,,,,,,
MTWARA,NEWALA,MKWEDU,USHIRIKA,S.1766,S1807,GOVERNMENT,45,20,45,42,20,20,15,20,,,,,125,102,10,2,10,2,18.9,18.9,66,4.269,7,7,1929,616,MORE THAN 40
MTWARA,TANDAHIMBA,MKOREHA,MKOREHA,S.1767,S1805,GOVERNMENT,33,50,35,60,36,22,13,10,,,,,117,142,5,6,5,6,23.5,23.5,26,4.7486,10,10,3259,1137,MORE THAN 40
MTWARA,TANDAHIMBA,NAMBAHU,NACHUNYU,S.1768,S2329,GOVERNMENT,78,62,36,72,35,38,19,4,,,,,168,176,13,2,13,2,22.9,22.9,73,4.0646,7,9,582,3286,LESS THAN 40
TANGA,TANGA CC,MABAWA,MIKANJUNI,S.1769,S3678,GOVERNMENT,145,192,206,203,106,125,127,132,,,,,584,652,28,33,28,33,20.3,20.3,55,4.4976,8,9,2856,2897,MORE THAN 40
KAGERA,NGARA,RULENGE,ST. ALFRED RULENGE,S.177,S0397,NON-GOVERNMENT,48,35,56,34,51,49,69,65,41,19,16,9,281,211,23,1,14,1,20.5,32.8,100,2.9924,4,5,233,250,MORE THAN 40
TABORA,URAMBO,VUMILIA,VUMILIA,S.1770,S1771,GOVERNMENT,52,44,33,28,27,25,31,16,,,,,143,113,12,6,12,6,14.2,14.2,73,4.0091,7,7,1062,1650,MORE THAN 40
TABORA,TABORA/UYUI,BUKUMBI,MADAHA,S.1771,S3679,GOVERNMENT,50,38,43,20,22,15,16,6,,,,,131,79,15,2,14,2,12.4,13.1,80,4.2498,7,7,901,389,LESS THAN 40
TABORA,TABORA/UYUI,IGALULA,IGALULA,S.1772,S3609,GOVERNMENT,86,76,105,58,36,24,30,13,,,,,257,171,10,6,10,6,26.8,26.8,65,4.0738,7,8,592,2215,LESS THAN 40
NJOMBE,LUDEWA,MADILU,MADILU,S.1773,S3829,GOVERNMENT,42,64,40,60,22,42,16,36,,,,,120,202,15,14,15,14,11.1,11.1,95,4.034,7,7,1132,1661,MORE THAN 40
NJOMBE,LUDEWA,LUILO,MCHUCHUMA,S.1774,S3647,GOVERNMENT,54,34,41,26,18,22,23,12,,,,,136,94,19,3,19,3,10.5,10.5,56,4.3279,8,7,1018,631,LESS THAN 40
